                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0238,                 2.2545,                0.63714,                0.93389,                0.84062,                0.76507,                0.78135,                0.62499,                0.58172,                0.55602,                0.54863,                0.30333,                 1.5228,                 7.4393,                0.81575,                0.90639,             0.00013368,             0.00013368,             0.00013368
                     25,                 1.1671,                 3.1298,                0.74386,                0.92182,                 0.8208,                0.76992,                0.78601,                 0.6293,                0.58055,                0.55606,                0.55022,                0.30305,                  1.487,                 7.5058,                0.82036,                0.90155,             0.00013943,             0.00013943,             0.00013943
                     26,                 1.1111,                 2.4415,                0.66011,                0.96032,                 0.8208,                0.76992,                0.78601,                 0.6293,                0.58055,                0.55606,                0.55022,                0.30305,                  1.487,                 7.5058,                0.82036,                0.90155,             0.00014516,             0.00014516,             0.00014516
                     27,                 1.2886,                 3.5582,                0.80805,                0.95419,                 0.8202,                0.76825,                 0.7955,                0.64606,                 0.5779,                0.55178,                0.55222,                0.30245,                 1.4504,                 7.4318,                0.80746,                0.89873,             0.00015089,             0.00015089,             0.00015089
                     28,                 1.0119,                 2.4465,                0.61497,                0.93152,                 0.8202,                0.76825,                 0.7955,                0.64606,                 0.5779,                0.55178,                0.55222,                0.30245,                 1.4504,                 7.4318,                0.80746,                0.89873,             0.00015662,             0.00015662,             0.00015662
                     29,                 1.1081,                 2.5752,                0.68471,                0.98016,                0.83239,                0.76138,                0.79174,                0.66369,                 0.5833,                0.55604,                0.55342,                 0.3055,                 1.4163,                 7.2487,                0.79694,                0.89584,             0.00016234,             0.00016234,             0.00016234
                     30,                0.87238,                 1.6332,                0.55512,                 0.9193,                0.83239,                0.76138,                0.79174,                0.66369,                 0.5833,                0.55604,                0.55342,                 0.3055,                 1.4163,                 7.2487,                0.79694,                0.89584,             0.00016805,             0.00016805,             0.00016805
                     31,                 1.2315,                 2.8666,                0.79332,                 0.9585,                0.83177,                0.76565,                0.79552,                0.67059,                0.48177,                0.47397,                0.46989,                0.30134,                  1.434,                 7.1324,                0.78814,                0.89371,             0.00017375,             0.00017375,             0.00017375
                     32,                0.89029,                  1.844,                0.56575,                 0.9232,                0.83177,                0.76565,                0.79552,                0.67059,                0.48177,                0.47397,                0.46989,                0.30134,                  1.434,                 7.1324,                0.78814,                0.89371,             0.00017945,             0.00017945,             0.00017945
                     33,                 1.3173,                 2.9148,                0.74777,                 1.0457,                0.83623,                0.76991,                0.79071,                0.67721,                0.49042,                0.47211,                0.47237,                0.29969,                 1.4307,                 6.9444,                0.80192,                0.89948,             0.00018515,             0.00018515,             0.00018515
