                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6126,                 5.2286,                 5.0865,                 1.8178,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0
                      2,                 2.9576,                 5.5281,                 5.1202,                 1.8872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8741e-06,             5.8741e-06,             5.8741e-06
                      3,                 2.9965,                 5.4669,                 4.8962,                 2.0516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.1736e-05,             1.1736e-05,             1.1736e-05
                      4,                 3.0304,                  6.351,                 5.1053,                 2.1322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.7587e-05,             1.7587e-05,             1.7587e-05
                      5,                 2.9122,                 5.6613,                 4.7247,                 1.9227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             2.3426e-05,             2.3426e-05,             2.3426e-05
                      6,                 3.1568,                 5.1568,                  4.453,                 1.7851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             2.9253e-05,             2.9253e-05,             2.9253e-05
                      7,                 2.8374,                 5.3234,                 3.9196,                 1.9844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.5068e-05,             3.5068e-05,             3.5068e-05
                      8,                   2.87,                 5.7588,                 3.9591,                 1.9708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.0872e-05,             4.0872e-05,             4.0872e-05
                      9,                  2.682,                 4.5335,                 3.2205,                 1.6647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.6663e-05,             4.6663e-05,             4.6663e-05
                     10,                 2.4335,                 4.9794,                 2.7048,                  1.757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.2443e-05,             5.2443e-05,             5.2443e-05
                     11,                 2.7451,                 4.6444,                 2.5034,                  1.648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8211e-05,             5.8211e-05,             5.8211e-05
                     12,                 2.1547,                 4.5994,                 2.3446,                  1.614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.3968e-05,             6.3968e-05,             6.3968e-05
                     13,                 1.8581,                 4.1955,                 1.9281,                 1.4509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.9712e-05,             6.9712e-05,             6.9712e-05
                     14,                 1.9432,                  3.788,                 2.0274,                 1.2704,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.5445e-05,             7.5445e-05,             7.5445e-05
                     15,                 2.0044,                 4.2238,                 1.7833,                 1.4089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.1166e-05,             8.1166e-05,             8.1166e-05
                     16,                 1.7377,                 3.4904,                 1.4984,                 1.2733,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6876e-05,             8.6876e-05,             8.6876e-05
                     17,                 1.9645,                 4.2764,                 1.6032,                 1.4299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.2573e-05,             9.2573e-05,             9.2573e-05
                     18,                 1.7052,                 3.8131,                  1.453,                 1.2883,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.8259e-05,             9.8259e-05,             9.8259e-05
                     19,                 1.6916,                  3.977,                 1.3146,                 1.2622,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010393,             0.00010393,             0.00010393
                     20,                 1.7455,                 3.6235,                  1.369,                 1.3517,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001096,              0.0001096,              0.0001096
                     21,                 2.2166,                 4.4148,                 1.6384,                  1.477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011525,             0.00011525,             0.00011525
                     22,                 1.6416,                 3.4558,                 1.2987,                 1.1627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012088,             0.00012088,             0.00012088
