                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.69239,                0.56551,                 1.0536,                 1.0009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.071262,             0.00026197,             0.00026197
                     31,                0.60317,                0.47936,                0.88491,                0.93413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.07027,                0.00027,                0.00027
                     32,                0.61068,                0.46661,                 1.0051,                0.98262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.069278,             0.00027797,             0.00027797
                     33,                0.72663,                0.72737,                0.88734,                0.90606,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.068286,             0.00028587,             0.00028587
                     34,                0.59199,                0.50482,                0.79947,                0.92857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.067294,              0.0002937,              0.0002937
                     35,                  0.714,                0.77589,                0.86877,                0.90354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.066301,             0.00030147,             0.00030147
                     36,                0.68094,                0.50552,                 1.3188,                0.99379,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.065309,             0.00030917,             0.00030917
                     37,                0.69374,                0.64882,                0.87467,                0.90301,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.064317,              0.0003168,              0.0003168
                     38,                0.76752,                 1.6656,                0.83784,                0.91224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.063324,             0.00032437,             0.00032437
                     39,                0.76336,                0.46112,                 1.8711,                 1.0282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.062332,             0.00033187,             0.00033187
                     40,                0.60584,                0.68112,                 1.1177,                0.95104,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.061339,              0.0003393,              0.0003393
                     41,                0.79172,                 1.0826,                0.91886,                 0.9173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.060347,             0.00034667,             0.00034667
