                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2878,                 5.2785,                  3.627,                 1.7292,                0.10333,                0.30693,                0.06773,                0.03442,                0.07333,                0.21782,                0.04492,                0.01492,                 1.1814,                 2.3771,                 3.2164,                 1.1317,                    0.1,                      0,                      0
                      2,                 1.6694,                 1.4806,                 3.4046,                 1.3747,                0.20667,                0.61386,                0.16676,                0.08159,                   0.18,                0.53465,                0.13811,                0.05846,                 0.9911,                 2.8787,                 2.9902,                0.98497,                0.09901,             9.9667e-06,             9.9667e-06
                      3,                 1.2406,                0.84191,                  3.072,                  1.341,                0.30333,                0.90099,                0.35865,                0.21759,                   0.28,                0.83168,                0.32579,                 0.1469,                0.96213,                 3.2323,                 2.8615,                0.94698,                0.09802,             1.9867e-05,             1.9867e-05
                      4,                 1.1295,                  2.329,                 3.1074,                 1.0947,                   0.31,                0.92079,                0.41967,                0.23328,                0.30667,                0.91089,                0.40891,                0.17606,                 1.1919,                 3.3599,                 2.7288,                0.98705,                0.09703,               2.97e-05,               2.97e-05
                      5,                0.87725,                 1.6505,                 2.9185,                 1.0909,                   0.31,                0.92079,                0.44659,                0.24208,                0.29667,                0.88119,                0.41446,                0.17754,                 1.2136,                 2.9253,                 2.6192,                0.99012,               0.096039,             3.9467e-05,             3.9467e-05
                      6,                0.80994,                0.76576,                 2.4461,                 1.0309,                   0.31,                0.92079,                0.57148,                0.33903,                0.15667,                0.46535,                0.19303,                0.06238,                 1.1249,                 8.8958,                  2.511,                 0.9709,               0.095049,             4.9167e-05,             4.9167e-05
                      7,                0.76087,                0.92773,                 2.3285,                 1.0158,                0.32333,                 0.9604,                 0.7659,                0.44568,                0.05667,                0.16832,                 0.0639,                0.02368,                 1.0716,                 24.467,                 2.4322,                 0.9657,               0.094059,               5.88e-05,               5.88e-05
                      8,                0.80936,                 1.2889,                 2.5016,                 1.0113,                0.32333,                 0.9604,                0.86488,                0.46476,                   0.03,                0.08911,                0.04334,                0.01056,                 1.0506,                 35.388,                  2.356,                0.97381,               0.093068,             6.8367e-05,             6.8367e-05
