                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.7268,                 1.4558,                 1.0319,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.060347,             0.00034667,             0.00034667
                     42,                 1.4957,                 1.2514,                  1.087,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.059354,             0.00035397,             0.00035397
                     43,                 1.4711,                 1.2069,                 1.0448,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.058361,              0.0003612,              0.0003612
                     44,                 1.4427,                 1.7721,                   1.15,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.057368,             0.00036837,             0.00036837
                     45,                  1.756,                 1.2828,                 1.1064,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.056375,             0.00037547,             0.00037547
                     46,                  1.222,                 1.5025,                 1.0623,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.055383,              0.0003825,              0.0003825
                     47,                 1.3956,                 1.1283,                0.97559,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.054389,             0.00038947,             0.00038947
                     48,                  1.486,                 1.2162,                 1.0188,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.053396,             0.00039637,             0.00039637
                     49,                 1.2705,                 1.1294,                 1.0138,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.052403,              0.0004032,              0.0004032
                     50,                 1.3178,                 1.0016,                0.94229,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.05141,             0.00040997,             0.00040997
                     51,                 1.2216,                 1.0956,                 1.0365,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.050417,             0.00041667,             0.00041667
                     52,                 1.2421,                 1.0653,                 1.0011,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.049423,              0.0004233,              0.0004233
                     53,                 1.3963,                 1.2715,                 1.1413,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.04843,             0.00042987,             0.00042987
                     54,                  1.247,                 1.0963,                 1.0505,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.047436,             0.00043637,             0.00043637
                     55,                 1.2512,                 1.2053,                 1.1047,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.046443,              0.0004428,              0.0004428
                     56,                 1.4488,                 1.0028,                0.99123,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.045449,             0.00044917,             0.00044917
                     57,                 1.5531,                 1.1123,                 1.0005,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.044455,             0.00045547,             0.00045547
                     58,                 1.3902,                0.98316,                0.97488,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.043462,              0.0004617,              0.0004617
                     59,                 1.3362,                 1.0152,                 1.0041,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.042468,             0.00046787,             0.00046787
                     60,                 1.5268,                 1.0347,                 1.0273,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.041474,             0.00047397,             0.00047397
                     61,                 1.4073,                 1.1349,                   1.12,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.04048,                0.00048,                0.00048
                     62,                 1.5684,                 1.0333,                 1.0019,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039486,             0.00048597,             0.00048597
                     63,                  1.403,                 0.9844,                0.97107,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.038492,             0.00049187,             0.00049187
                     64,                 1.6058,                  1.005,                 1.0719,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.037498,              0.0004977,              0.0004977
                     65,                 1.3831,                0.98939,                 1.0701,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.036503,             0.00050347,             0.00050347
                     66,                 1.3944,                 1.0065,                 1.0236,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.035509,             0.00050917,             0.00050917
                     67,                 1.4639,                 1.2792,                  1.228,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.034515,              0.0005148,              0.0005148
                     68,                 1.2131,                0.94726,                0.98026,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.03352,             0.00052037,             0.00052037
                     69,                 1.3154,                0.97075,                0.97947,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.032526,             0.00052587,             0.00052587
                     70,                 1.2532,                0.93423,                0.96596,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.031531,              0.0005313,              0.0005313
                     71,                 1.2656,                 1.1903,                 1.1452,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.030537,             0.00053667,             0.00053667
                     72,                 1.2432,                0.91632,                0.95743,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.029542,             0.00054197,             0.00054197
                     73,                 1.2125,                0.89627,                0.98365,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.028547,              0.0005472,              0.0005472
                     74,                 1.3045,                0.97847,                 1.0129,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.027552,             0.00055237,             0.00055237
                     75,                 1.2082,                0.89482,                 1.0046,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.026557,             0.00055747,             0.00055747
                     76,                 1.3351,                 1.1537,                 1.1145,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.025563,              0.0005625,              0.0005625
                     77,                 1.4644,                0.96444,                0.94768,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.024567,             0.00056747,             0.00056747
                     78,                  1.374,                 1.0328,                0.96493,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.023572,             0.00057237,             0.00057237
                     79,                 1.3939,                0.97633,                0.92006,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.022577,              0.0005772,              0.0005772
                     80,                 1.3117,                 1.4739,                 1.1476,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.021582,             0.00058197,             0.00058197
